keyword,hashtag,count_hashtag,date
#manutd,manutd,311,22/03/2022
#manutd,mufc,210,22/03/2022
#manutd,manchesterunited,71,22/03/2022
#manutd,manunited,67,22/03/2022
#manutd,premierleague,36,22/03/2022
#manutd,transfers,27,22/03/2022
#manutd,epl,27,22/03/2022
#manutd,adored,24,22/03/2022
#manutd,football,24,22/03/2022
#manutd,tenhag,18,22/03/2022
#manutd,arsenal,17,22/03/2022
#manutd,mufc_family,17,22/03/2022
#manutd,ggmu,17,22/03/2022
#manutd,liverpool,15,22/03/2022
#manutd,mancity,13,22/03/2022
#manutd,chelsea,12,22/03/2022
#manutd,manu,9,22/03/2022
#manutd,manager,8,22/03/2022
#manutd,pl,8,22/03/2022
#manutd,latestnews,7,22/03/2022
#manutd,ronaldo,7,22/03/2022
#manutd,lfc,6,22/03/2022
#manutd,liverpoolfc,6,22/03/2022
#manutd,cristianoronaldo,6,22/03/2022
#manutd,manchesterutd,6,22/03/2022
#manutd,ajax,6,22/03/2022
#manutd,manchester,6,22/03/2022
#manutd,oldtrafford,5,22/03/2022
#manutd,sports,5,22/03/2022
#manutd,murdfootball,5,22/03/2022
#manutd,glazersout,5,22/03/2022
#manutd,reddevils,5,22/03/2022
#manutd,redrants,4,22/03/2022
#manutd,richarlison,4,22/03/2022
#manutd,tottenham,4,22/03/2022
#manutd,soccer,4,22/03/2022
#manutd,cr7,4,22/03/2022
#manutd,maguire,4,22/03/2022
#manutd,barcelona,4,22/03/2022
#manutd,england,4,22/03/2022
#manutd,eriktenhag,4,22/03/2022
#manutd,thestretfordend,4,22/03/2022
#manutd,degea,3,22/03/2022
#manutd,elanga,3,22/03/2022
#manutd,premier_space,3,22/03/2022
#manutd,spurs,3,22/03/2022
#manutd,epls,3,22/03/2022
#manutd,everton,3,22/03/2022
#manutd,fplcommunity,3,22/03/2022
#manutd,pochettino,3,22/03/2022
#manutd,manchestercity,3,22/03/2022
#manutd,pogba,3,22/03/2022
#manutd,premier,3,22/03/2022
#manutd,psg,3,22/03/2022
#manutd,newcastle,3,22/03/2022
#manutd,best,3,22/03/2022
#manutd,waynerooney,3,22/03/2022
#manutd,app,3,22/03/2022
#manutd,championsleague,3,22/03/2022
#manutd,wolves,3,22/03/2022
#manutd,united,2,22/03/2022
#manutd,harrymaguire,2,22/03/2022
#manutd,footballtickets,2,22/03/2022
#manutd,fpl,2,22/03/2022
#manutd,ynwa,2,22/03/2022
#manutd,brunofernandes,2,22/03/2022
#manutd,brighton,2,22/03/2022
#manutd,sancho,2,22/03/2022
#manutd,westham,2,22/03/2022
#manutd,manches,2,22/03/2022
#manutd,cfc,2,22/03/2022
#manutd,indiana,2,22/03/2022
#manutd,indianapolis,2,22/03/2022
#manutd,indy,2,22/03/2022
#manutd,breaking,2,22/03/2022
#manutd,juanmata,2,22/03/2022
#manutd,tielemans,2,22/03/2022
#manutd,realmadrid,2,22/03/2022
#manutd,leicester,2,22/03/2022
#manutd,footballnews24,2,22/03/2022
#manutd,utfr,2,22/03/2022
#manutd,tchouameni,2,22/03/2022
#manutd,dreamteam,2,22/03/2022
#manutd,fm22,2,22/03/2022
#manutd,afc,2,22/03/2022
#manutd,tra,2,22/03/2022
#manutd,chelseafc,2,22/03/2022
#manutd,mufcindy,2,22/03/2022
#manutd,memorabilia,2,22/03/2022
#manutd,mujournal,2,22/03/2022
#manutd,munlei,2,22/03/2022
#manutd,stretfordend,2,22/03/2022
#manutd,news,2,22/03/2022
#manutd,wba,1,22/03/2022
#manutd,ps4live,1,22/03/2022
#manutd,zidane,1,22/03/2022
#manutd,zazoo,1,22/03/2022
#manutd,varane,1,22/03/2022
#manutd,premiership,1,22/03/2022
#manutd,vieira,1,22/03/2022
#manutd,properfootballers,1,22/03/2022
#manutd,nftcommunity,1,22/03/2022
#manutd,nft,1,22/03/2022
#manutd,whoknows,1,22/03/2022
#manutd,watford,1,22/03/2022
#manutd,villa,1,22/03/2022
#manutd,nigeria,1,22/03/2022
#manutd,opensea,1,22/03/2022
#manutd,whu,1,22/03/2022
#manutd,podcast,1,22/03/2022
#manutd,palace,1,22/03/2022
#manutd,pally,1,22/03/2022
#manutd,partytime,1,22/03/2022
#manutd,olise,1,22/03/2022
#manutd,ynwagram,1,22/03/2022
#manutd,zaha,1,22/03/2022
#manutd,personalisation,1,22/03/2022
#manutd,olamide,1,22/03/2022
#manutd,rashford,1,22/03/2022
#manutd,personalised,1,22/03/2022
#manutd,nufc,1,22/03/2022
#manutd,phillips,1,22/03/2022
#manutd,philneal,1,22/03/2022
#manutd,photoframe,1,22/03/2022
#manutd,woodwardyears,1,22/03/2022
#manutd,norwich,1,22/03/2022
#manutd,wizkid,1,22/03/2022
#manutd,northernireland,1,22/03/2022
#manutd,pocolee,1,22/03/2022
#manutd,world,1,22/03/2022
#manutd,tiktok,1,22/03/2022
#manutd,utdpodast,1,22/03/2022
#manutd,treble,1,22/03/2022
#manutd,ucldraw,1,22/03/2022
#manutd,stam,1,22/03/2022
#manutd,stamfordbridge,1,22/03/2022
#manutd,stream,1,22/03/2022
#manutd,stretford,1,22/03/2022
#manutd,summerholiday,1,22/03/2022
#manutd,supportsmallstreamers,1,22/03/2022
#manutd,sureshraina𓃵,1,22/03/2022
#manutd,ucl,1,22/03/2022
#manutd,target,1,22/03/2022
#manutd,transferrumours,1,22/03/2022
#manutd,netherlands,1,22/03/2022
#manutd,transfernews,1,22/03/2022
#manutd,ten,1,22/03/2022
#manutd,tenhaag,1,22/03/2022
#manutd,tenhagin,1,22/03/2022
