keyword,hashtag,count_hashtag,date
#facup,facup,246,22/03/2022
#facup,lfc,50,22/03/2022
#facup,mcfc,28,22/03/2022
#facup,football,26,22/03/2022
#facup,cfc,18,22/03/2022
#facup,mancity,17,22/03/2022
#facup,cpfc,17,22/03/2022
#facup,liverpool,16,22/03/2022
#facup,crystalpalace,15,22/03/2022
#facup,wembley,15,22/03/2022
#facup,braga,12,22/03/2022
#facup,serieafemminile,12,22/03/2022
#facup,tondela,12,22/03/2022
#facup,juventus,12,22/03/2022
#facup,primeiraliga,12,22/03/2022
#facup,porto,12,22/03/2022
#facup,ukrainia,12,22/03/2022
#facup,ukrainwar,12,22/03/2022
#facup,chelsea,12,22/03/2022
#facup,moreirense,12,22/03/2022
#facup,russie,12,22/03/2022
#facup,1xbet,12,22/03/2022
#facup,betwinner,12,22/03/2022
#facup,betting,12,22/03/2022
#facup,premierleague,11,22/03/2022
#facup,ucl,9,22/03/2022
#facup,fa,9,22/03/2022
#facup,championsleague,8,22/03/2022
#facup,ynwa,7,22/03/2022
#facup,pl,6,22/03/2022
#facup,emiratesfacup,6,22/03/2022
#facup,thfc,6,22/03/2022
#facup,realfootballcast,6,22/03/2022
#facup,england,5,22/03/2022
#facup,lufc,5,22/03/2022
#facup,bbcfootball,5,22/03/2022
#facup,elclasico,5,22/03/2022
#facup,villapark,5,22/03/2022
#facup,manchestercity,5,22/03/2022
#facup,mciliv,5,22/03/2022
#facup,chelseafc,5,22/03/2022
#facup,efc,4,22/03/2022
#facup,lfcthai,4,22/03/2022
#facup,soccer,4,22/03/2022
#facup,epl,4,22/03/2022
#facup,mufc,4,22/03/2022
#facup,engsui,3,22/03/2022
#facup,engciv,3,22/03/2022
#facup,afcon2021,3,22/03/2022
#facup,liverpoolfc,3,22/03/2022
#facup,facupsemifinal,3,22/03/2022
#facup,threelions,3,22/03/2022
#facup,gbvsdet,3,22/03/2022
#facup,switzerland,3,22/03/2022
#facup,pitvsbal,3,22/03/2022
#facup,everton,3,22/03/2022
#facup,liverpoolinthailand,3,22/03/2022
#facup,afc,3,22/03/2022
#facup,codenewbies,3,22/03/2022
#facup,arsenal,3,22/03/2022
#facup,ivorycoast,3,22/03/2022
#facup,semifinal,3,22/03/2022
#facup,checry,3,22/03/2022
#facup,palace,3,22/03/2022
#facup,indvsjax,3,22/03/2022
#facup,uk,3,22/03/2022
#facup,eagles,2,22/03/2022
#facup,facupfinal,2,22/03/2022
#facup,defi,2,22/03/2022
#facup,worldcup,2,22/03/2022
#facup,podcasts,2,22/03/2022
#facup,messi,2,22/03/2022
#facup,thefa,2,22/03/2022
#facup,liv,2,22/03/2022
#facup,tsimikas,2,22/03/2022
#facup,jota,2,22/03/2022
#facup,ukraine,2,22/03/2022
#facup,europaleague,2,22/03/2022
#facup,klopp,2,22/03/2022
#facup,quadruple,2,22/03/2022
#facup,ฟุตบอลต่างประเทศ,1,22/03/2022
#facup,rip,1,22/03/2022
#facup,quarterfinal,1,22/03/2022
#facup,premierleagueresults,1,22/03/2022
#facup,reds,1,22/03/2022
#facup,recruitment,1,22/03/2022
#facup,ข่าวฟุตบอล,1,22/03/2022
#facup,rangers,1,22/03/2022
#facup,ข่าวบอลนอก,1,22/03/2022
#facup,railways,1,22/03/2022
#facup,whoscored,1,22/03/2022
#facup,play,1,22/03/2022
#facup,premier,1,22/03/2022
#facup,poyets,1,22/03/2022
#facup,nstsports,1,22/03/2022
#facup,nuevaecijaispink,1,22/03/2022
#facup,nufc,1,22/03/2022
#facup,okocha,1,22/03/2022
#facup,olsc,1,22/03/2022
#facup,olympiakos,1,22/03/2022
#facup,เชลซี,1,22/03/2022
#facup,onepiece1044,1,22/03/2022
#facup,opportunity,1,22/03/2022
#facup,otbc,1,22/03/2022
#facup,otd,1,22/03/2022
#facup,outings,1,22/03/2022
#facup,pancakeswap,1,22/03/2022
#facup,paok,1,22/03/2022
#facup,pas,1,22/03/2022
#facup,phatzradiosports,1,22/03/2022
#facup,plfixtures,1,22/03/2022
#facup,pochettino,1,22/03/2022
